AttractionID,StartDate,AvailableSeats,CreatedAt,Description,EndDate,Location,Price,TourName,UpdatedAt
4278e5cc-f8d3-467d-8a61-43c8603a4b7d,15/10/2024,30,2024-09-15T10:00:00Z,National memorial to Australian military history.,15/10/2024,"""Treloar Crescent, Campbell, ACT""",100,Australian War Memorial,2024-09-15T10:00:00Z
4278e5cc-f8d3-467d-8a61-43c8603a4b7d,22/10/2024,30,2024-09-15T10:00:00Z,National memorial to Australian military history.,22/10/2024,"""Treloar Crescent, Campbell, ACT""",100,Australian War Memorial,2024-09-15T10:00:00Z
4278e5cc-f8d3-467d-8a61-43c8603a4b7d,29/10/2024,30,2024-09-15T10:00:00Z,National memorial to Australian military history.,29/10/2024,"""Treloar Crescent, Campbell, ACT""",100,Australian War Memorial,2024-09-15T10:00:00Z
547fb387-a153-47c7-996f-3d3d953c4002,8/10/2024,30,2024-09-15T10:00:00Z,Iconic performing arts venue located on Sydney's harbour.,8/10/2024,"""Bennelong Point, Sydney, NSW""",50,Sydney Opera House,2024-09-15T10:00:00Z
547fb387-a153-47c7-996f-3d3d953c4002,15/10/2024,30,2024-09-15T10:00:00Z,Iconic performing arts venue located on Sydney's harbour.,15/10/2024,"""Bennelong Point, Sydney, NSW""",50,Sydney Opera House,2024-09-15T10:00:00Z
547fb387-a153-47c7-996f-3d3d953c4002,22/10/2024,30,2024-09-15T10:00:00Z,Iconic performing arts venue located on Sydney's harbour.,22/10/2024,"""Bennelong Point, Sydney, NSW""",50,Sydney Opera House,2024-09-15T10:00:00Z
4ba04816-bc9f-49e2-826e-1aad5f2a20b8,3/10/2024,50,2024-09-15T10:00:00Z,Extensive gardens with a wide variety of plant species.,3/10/2024,"""Birdwood Ave, South Yarra, VIC""",20,Royal Botanic Gardens,2024-09-15T10:00:00Z
4ba04816-bc9f-49e2-826e-1aad5f2a20b8,10/10/2024,50,2024-09-15T10:00:00Z,Extensive gardens with a wide variety of plant species.,10/10/2024,"""Birdwood Ave, South Yarra, VIC""",20,Royal Botanic Gardens,2024-09-15T10:00:00Z
4ba04816-bc9f-49e2-826e-1aad5f2a20b8,17/10/2024,50,2024-09-15T10:00:00Z,Extensive gardens with a wide variety of plant species.,17/10/2024,"""Birdwood Ave, South Yarra, VIC""",20,Royal Botanic Gardens,2024-09-15T10:00:00Z
efcbdf2f-b7de-4ab7-b88a-25d8fe4732dd,1/10/2024,30,2024-09-15T10:00:00Z,Famous bridge with panoramic views of the city.,1/10/2024,"""Sydney Harbour, Sydney, NSW""",0,Sydney Harbour Bridge,2024-09-15T10:00:00Z
efcbdf2f-b7de-4ab7-b88a-25d8fe4732dd,8/10/2024,30,2024-09-15T10:00:00Z,Famous bridge with panoramic views of the city.,8/10/2024,"""Sydney Harbour, Sydney, NSW""",0,Sydney Harbour Bridge,2024-09-15T10:00:00Z
efcbdf2f-b7de-4ab7-b88a-25d8fe4732dd,15/10/2024,30,2024-09-15T10:00:00Z,Famous bridge with panoramic views of the city.,15/10/2024,"""Sydney Harbour, Sydney, NSW""",0,Sydney Harbour Bridge,2024-09-15T10:00:00Z
1b3e90fc-faa6-4e51-a5bf-0816bd7423ae,2/10/2024,50,2024-09-15T10:00:00Z,Botanic gardens with native and exotic plants.,2/10/2024,"""North Terrace, Adelaide, SA""",10,Adelaide Botanic Garden,2024-09-15T10:00:00Z
1b3e90fc-faa6-4e51-a5bf-0816bd7423ae,9/10/2024,50,2024-09-15T10:00:00Z,Botanic gardens with native and exotic plants.,9/10/2024,"""North Terrace, Adelaide, SA""",10,Adelaide Botanic Garden,2024-09-15T10:00:00Z
1b3e90fc-faa6-4e51-a5bf-0816bd7423ae,16/10/2024,50,2024-09-15T10:00:00Z,Botanic gardens with native and exotic plants.,16/10/2024,"""North Terrace, Adelaide, SA""",10,Adelaide Botanic Garden,2024-09-15T10:00:00Z
3c48111f-738b-4d9d-a7e6-01e569e8dfde,1/10/2024,30,2024-09-15T10:00:00Z,Historic gardens with beautiful plant displays and pathways.,1/10/2024,"""Wellington Parade, East Melbourne, VIC""",15,Fitzroy Gardens,2024-09-15T10:00:00Z
3c48111f-738b-4d9d-a7e6-01e569e8dfde,8/10/2024,30,2024-09-15T10:00:00Z,Historic gardens with beautiful plant displays and pathways.,8/10/2024,"""Wellington Parade, East Melbourne, VIC""",15,Fitzroy Gardens,2024-09-15T10:00:00Z
3c48111f-738b-4d9d-a7e6-01e569e8dfde,15/10/2024,30,2024-09-15T10:00:00Z,Historic gardens with beautiful plant displays and pathways.,15/10/2024,"""Wellington Parade, East Melbourne, VIC""",15,Fitzroy Gardens,2024-09-15T10:00:00Z
df420bb3-fccf-4916-9e31-063ea17d6c8b,2/10/2024,50,2024-09-15T10:00:00Z,Bustling market with fresh produce and gourmet food.,2/10/2024,"""Gouger St, Adelaide, SA""",0,Adelaide Central Market,2024-09-15T10:00:00Z
df420bb3-fccf-4916-9e31-063ea17d6c8b,9/10/2024,50,2024-09-15T10:00:00Z,Bustling market with fresh produce and gourmet food.,9/10/2024,"""Gouger St, Adelaide, SA""",0,Adelaide Central Market,2024-09-15T10:00:00Z
df420bb3-fccf-4916-9e31-063ea17d6c8b,16/10/2024,50,2024-09-15T10:00:00Z,Bustling market with fresh produce and gourmet food.,16/10/2024,"""Gouger St, Adelaide, SA""",0,Adelaide Central Market,2024-09-15T10:00:00Z
1fc3f297-5698-4004-80c0-f4b3c8215492,3/10/2024,30,2024-09-15T10:00:00Z,Popular beach known for its crystal-clear waters and lively atmosphere.,3/10/2024,"""Marine Parade, Cottesloe, WA""",10,Cottesloe Beach,2024-09-15T10:00:00Z
1fc3f297-5698-4004-80c0-f4b3c8215492,10/10/2024,30,2024-09-15T10:00:00Z,Popular beach known for its crystal-clear waters and lively atmosphere.,10/10/2024,"""Marine Parade, Cottesloe, WA""",10,Cottesloe Beach,2024-09-15T10:00:00Z
1fc3f297-5698-4004-80c0-f4b3c8215492,17/10/2024,30,2024-09-15T10:00:00Z,Popular beach known for its crystal-clear waters and lively atmosphere.,17/10/2024,"""Marine Parade, Cottesloe, WA""",10,Cottesloe Beach,2024-09-15T10:00:00Z
96cfe1ab-a0fb-44dd-aaea-6d5786b5d32e,4/10/2024,50,2024-09-15T10:00:00Z,Iconic cantilever bridge with scenic views.,4/10/2024,"""Story Bridge, Brisbane, QLD""",15,Story Bridge,2024-09-15T10:00:00Z
96cfe1ab-a0fb-44dd-aaea-6d5786b5d32e,11/10/2024,50,2024-09-15T10:00:00Z,Iconic cantilever bridge with scenic views.,11/10/2024,"""Story Bridge, Brisbane, QLD""",15,Story Bridge,2024-09-15T10:00:00Z
96cfe1ab-a0fb-44dd-aaea-6d5786b5d32e,18/10/2024,50,2024-09-15T10:00:00Z,Iconic cantilever bridge with scenic views.,18/10/2024,"""Story Bridge, Brisbane, QLD""",15,Story Bridge,2024-09-15T10:00:00Z
1b2235c8-cde9-4677-a376-a343998995a2,5/10/2024,30,2024-09-15T10:00:00Z,Popular beach known for its surf and lively atmosphere.,5/10/2024,"""Bondi Beach, Sydney, NSW""",0,Bondi Beach,2024-09-15T10:00:00Z
1b2235c8-cde9-4677-a376-a343998995a2,12/10/2024,30,2024-09-15T10:00:00Z,Popular beach known for its surf and lively atmosphere.,12/10/2024,"""Bondi Beach, Sydney, NSW""",0,Bondi Beach,2024-09-15T10:00:00Z
1b2235c8-cde9-4677-a376-a343998995a2,19/10/2024,30,2024-09-15T10:00:00Z,Popular beach known for its surf and lively atmosphere.,19/10/2024,"""Bondi Beach, Sydney, NSW""",0,Bondi Beach,2024-09-15T10:00:00Z
1534aea7-1fcf-40c2-a93a-65b0eba144f2,6/10/2024,50,2024-09-15T10:00:00Z,Largest art museum in Australia with extensive collections.,6/10/2024,"""Parkes Pl E, Parkes, ACT""",80,National Gallery of Australia,2024-09-15T10:00:00Z
1534aea7-1fcf-40c2-a93a-65b0eba144f2,13/10/2024,50,2024-09-15T10:00:00Z,Largest art museum in Australia with extensive collections.,13/10/2024,"""Parkes Pl E, Parkes, ACT""",80,National Gallery of Australia,2024-09-15T10:00:00Z
1534aea7-1fcf-40c2-a93a-65b0eba144f2,20/10/2024,50,2024-09-15T10:00:00Z,Largest art museum in Australia with extensive collections.,20/10/2024,"""Parkes Pl E, Parkes, ACT""",80,National Gallery of Australia,2024-09-15T10:00:00Z
b9632fbc-b8b8-4062-8567-c2ed3c9ce875,7/10/2024,30,2024-09-15T10:00:00Z,National park known for its waterfalls and natural swimming holes.,7/10/2024,"""Batchelor, NT""",80,Litchfield National Park,2024-09-15T10:00:00Z
b9632fbc-b8b8-4062-8567-c2ed3c9ce875,14/10/2024,30,2024-09-15T10:00:00Z,National park known for its waterfalls and natural swimming holes.,14/10/2024,"""Batchelor, NT""",80,Litchfield National Park,2024-09-15T10:00:00Z
b9632fbc-b8b8-4062-8567-c2ed3c9ce875,21/10/2024,30,2024-09-15T10:00:00Z,National park known for its waterfalls and natural swimming holes.,21/10/2024,"""Batchelor, NT""",80,Litchfield National Park,2024-09-15T10:00:00Z
6716c2ce-852c-4e19-8c58-6516c9328151,8/10/2024,50,2024-09-15T10:00:00Z,World's first and largest koala sanctuary.,8/10/2024,"""708 Jesmond Rd, Fig Tree Pocket, QLD""",100,Lone Pine Koala Sanctuary,2024-09-15T10:00:00Z
6716c2ce-852c-4e19-8c58-6516c9328151,15/10/2024,50,2024-09-15T10:00:00Z,World's first and largest koala sanctuary.,15/10/2024,"""708 Jesmond Rd, Fig Tree Pocket, QLD""",100,Lone Pine Koala Sanctuary,2024-09-15T10:00:00Z
6716c2ce-852c-4e19-8c58-6516c9328151,22/10/2024,50,2024-09-15T10:00:00Z,World's first and largest koala sanctuary.,22/10/2024,"""708 Jesmond Rd, Fig Tree Pocket, QLD""",100,Lone Pine Koala Sanctuary,2024-09-15T10:00:00Z
3b9b4174-98ae-4a4a-b6ce-3139d09374ea,1/10/2024,30,2024-09-15T10:00:00Z,Expansive park with native flora and stunning views of Perth.,1/10/2024,"""Fraser Ave, Perth, WA""",20,Kings Park and Botanic Garden,2024-09-15T10:00:00Z
3b9b4174-98ae-4a4a-b6ce-3139d09374ea,8/10/2024,30,2024-09-15T10:00:00Z,Expansive park with native flora and stunning views of Perth.,8/10/2024,"""Fraser Ave, Perth, WA""",20,Kings Park and Botanic Garden,2024-09-15T10:00:00Z
3b9b4174-98ae-4a4a-b6ce-3139d09374ea,15/10/2024,30,2024-09-15T10:00:00Z,Expansive park with native flora and stunning views of Perth.,15/10/2024,"""Fraser Ave, Perth, WA""",20,Kings Park and Botanic Garden,2024-09-15T10:00:00Z
c9ededf7-4564-4f51-ac73-b37845d5506b,2/10/2024,50,2024-09-15T10:00:00Z,Contemporary art museum with a unique and provocative collection.,2/10/2024,"""655 Main Rd, Berriedale, TAS""",80,Museum of Old and New Art (MONA),2024-09-15T10:00:00Z
c9ededf7-4564-4f51-ac73-b37845d5506b,9/10/2024,50,2024-09-15T10:00:00Z,Contemporary art museum with a unique and provocative collection.,9/10/2024,"""655 Main Rd, Berriedale, TAS""",80,Museum of Old and New Art (MONA),2024-09-15T10:00:00Z
c9ededf7-4564-4f51-ac73-b37845d5506b,16/10/2024,50,2024-09-15T10:00:00Z,Contemporary art museum with a unique and provocative collection.,16/10/2024,"""655 Main Rd, Berriedale, TAS""",80,Museum of Old and New Art (MONA),2024-09-15T10:00:00Z
348de1f3-ad00-41ce-abe0-11f7f38ed4f7,3/10/2024,30,2024-09-15T10:00:00Z,Australia's oldest public art museum.,3/10/2024,"""180 St Kilda Rd, Melbourne, VIC""",50,National Gallery of Victoria,2024-09-15T10:00:00Z
348de1f3-ad00-41ce-abe0-11f7f38ed4f7,10/10/2024,30,2024-09-15T10:00:00Z,Australia's oldest public art museum.,10/10/2024,"""180 St Kilda Rd, Melbourne, VIC""",50,National Gallery of Victoria,2024-09-15T10:00:00Z
348de1f3-ad00-41ce-abe0-11f7f38ed4f7,17/10/2024,30,2024-09-15T10:00:00Z,Australia's oldest public art museum.,17/10/2024,"""180 St Kilda Rd, Melbourne, VIC""",50,National Gallery of Victoria,2024-09-15T10:00:00Z
57c76e64-a836-461a-a555-265191d3e1a5,4/10/2024,50,2024-09-15T10:00:00Z,"Scenic river with opportunities for boating, walking, and picnicking.",4/10/2024,"""Perth, WA""",0,Swan River,2024-09-15T10:00:00Z
57c76e64-a836-461a-a555-265191d3e1a5,11/10/2024,50,2024-09-15T10:00:00Z,"Scenic river with opportunities for boating, walking, and picnicking.",11/10/2024,"""Perth, WA""",0,Swan River,2024-09-15T10:00:00Z
57c76e64-a836-461a-a555-265191d3e1a5,18/10/2024,50,2024-09-15T10:00:00Z,"Scenic river with opportunities for boating, walking, and picnicking.",18/10/2024,"""Perth, WA""",0,Swan River,2024-09-15T10:00:00Z
2dbe7274-ddd4-409b-8efc-ecc442b6e729,5/10/2024,30,2024-09-15T10:00:00Z,Historic zoo home to a wide variety of animal species.,5/10/2024,"""Frome Rd, Adelaide, SA""",50,Adelaide Zoo,2024-09-15T10:00:00Z
2dbe7274-ddd4-409b-8efc-ecc442b6e729,12/10/2024,30,2024-09-15T10:00:00Z,Historic zoo home to a wide variety of animal species.,12/10/2024,"""Frome Rd, Adelaide, SA""",50,Adelaide Zoo,2024-09-15T10:00:00Z
2dbe7274-ddd4-409b-8efc-ecc442b6e729,19/10/2024,30,2024-09-15T10:00:00Z,Historic zoo home to a wide variety of animal species.,19/10/2024,"""Frome Rd, Adelaide, SA""",50,Adelaide Zoo,2024-09-15T10:00:00Z
ae9ae63d-155b-4081-b1a2-6b8bd9e60464,6/10/2024,50,2024-09-15T10:00:00Z,Modern waterfront area with restaurants and recreational facilities.,6/10/2024,"""Kitchener Dr, Darwin, NT""",80,Darwin Waterfront Precinct,2024-09-15T10:00:00Z
